,text,task_1,Hate,c_text,dale_chall,bad_words,num_words,all_caps,emoji,capitals,total_length,caps_vs_length,num_unique_words,words_vs_unique,num_urls,!,?
10,"Ethics, values and compassion should been the mantra at this stage. Unfortunately many sick minds are using it as a tool to make fortune. Look at just bed blocking and black marketing of drugs. It's not covid killing people, it's the greedy and creepy humans. #IndiaCovidCrisis",HOF,1,ethics values and compassion should been the mantra at this stage unfortunately many sick minds are using it as a tool to make fortune look at just bed blocking and black marketing of drugs it is not covid killing people it is the greedy and creepy humans,9.7,3,46,0.0,0.0,7,277,0.02527075812274368,42,0.9130434782608695,0,0.0,0.0
11,dont know who tf Margaret is but this bitch been giving people out the wrong phone number for at least a decade now and iâ€™m fukin sick of getting her calls! like how tf do you not know youâ€™re number and at that continue to keep going out the wrong one when you set up appointments,HOF,1,dont know who tf margaret is but this bitch been giving people out the wrong phone number for at least a decade now and trade mark fukin sick of getting her calls like how tf do you not know youtrade marker number and at that continue to keep going out the wrong one when you set up appointments,10.08,3,56,0.0,0.0,1,284,0.0035211267605633804,47,0.8392857142857143,0,0.017857142857142856,0.0
12,@vonderleyen Shame on you!! We are not idiots. Any thing less than #TripsWaiver and technology transfer will kill millions. No more deflection tactics. Put human life's before the profit of #BigPharma. No more criminal #CovidVaccine politics. Let the,HOF,1,shame on you we are not idiots any thing less than and technology transfer will kill millions no more deflection tactics put human life's before the profit of no more criminal politics let the,10.18,2,38,0.0,0.0,13,250,0.052,35,0.9210526315789473,0,0.05263157894736842,0.0
13,@ArmaanS13738198 @narendramodi If we r already so defame in nation then why u r giving us attention? Why you ass is getting fire ðŸ”¥ BJP IT CELL #FarmersProtest #FarmLawsWorstThanCOVID #COVID19 #ResignModi,HOF,1,if we r already so defame in nation then why u r giving us attention why you ass is getting fire bjp it cell,11.03,2,31,0.12903225806451613,0.0,32,206,0.1553398058252427,30,0.967741935483871,0,0.0,0.03225806451612903
14,A disgrace to all mankind!! Where is Modi?? Indians left to fend for themselves while MODI fends for Ambani and Adnani!  #ResignModi,HOF,1,a disgrace to all mankind where is modi indians left to fend for themselves while modi ends for ambani and adnani,11.18,0,22,0.09090909090909091,0.0,12,132,0.09090909090909091,20,0.9090909090909091,0,0.13636363636363635,0.09090909090909091
15,@mixtapeminimus1 Shit is sexy,NOT,0,shit is sexy,15.68,2,4,0.0,0.0,1,29,0.034482758620689655,4,1.0,0,0.0,0.0
16,@cryptozissou @Adouble212 Well price action is actually hooker to me,NOT,0,well price action is actually hooker to me,12.03,1,10,0.0,0.0,2,68,0.029411764705882353,10,1.0,0,0.0,0.0
17,"Images are disturbing, to say the least!  #IndiaCovidCrisis #CovidIndiaInfo #NarendraModi https://t.co/4zmgrtD2vx",NOT,0,images are disturbing to say the least,17.1,0,11,0.0,0.0,10,113,0.08849557522123894,11,1.0,1,0.09090909090909091,0.0
18,"Unfortunately, when MONEY can't buy you everything!   #IPL2021 #IndianPremierLeague  #IndiaCovidCrisis #Cricket #IPL #iplsuspended https://t.co/VvOS1oqcUH",NOT,0,unfortunately when money cannot buy you everything,16.74,0,14,0.21428571428571427,0.0,24,154,0.15584415584415584,14,1.0,1,0.07142857142857142,0.0
19,#COVIDIOTS #ResignModi  Really sad 🥲  https://t.co/Xy5u5mbx79,NOT,0,really sad,19.72,0,6,0.16666666666666666,0.0,13,61,0.21311475409836064,6,1.0,1,0.0,0.0
20,The situation all around us is extremely painful.I can't albe to see it any more..ppl are loosing their hope. Only God knows when will this all end.God will never forgive anyone who behaves as a opportunistic in this inhumane crisis. #wuhanvirus @WIONews @PMOIndia @arunbothra,NOT,0,the situation all around us is extremely painful i cannot able to see it any more ppl are looking their hope only god knows when will this all end god will never forgive anyone who behaves as a opportunistic in this inhumane crisis,9.75,1,44,0.0,0.0,13,276,0.04710144927536232,41,0.9318181818181818,0,0.0,0.0
21,@globaltimesnews You bastard Fucking chinese chinki. Shame on you. You are responsible for this chinese virus from #Wuhan @USAndIndia @EOIBeijing #China #chineseVirus @ZeeNews @_Aaj_Tak @indiatvnews https://t.co/7qPTEs5lfo,HOF,1,you bastard fucking chinese chinki shame on you you are responsible for this chinese virus from,15.0,3,26,0.0,0.0,22,222,0.0990990990990991,24,0.9230769230769231,1,0.0,0.0
22,"@VivekVs1963 Delhi really needs new cremation grounds. What prescience of our great leaders, cutting trees and making space, killing two birds with one stone!! #StopCentralVistaProject  #DelhiCantBreathe  #IndiaCovidCrisis",NOT,0,delhi really needs new cremation grounds what prescience of our great leaders cutting trees and making space killing two birds with one stone,11.91,1,27,0.0,0.0,14,222,0.06306306306306306,27,1.0,0,0.07407407407407407,0.0
23,@ZubyMusic I guess it depends how you define 'winner'. You can be at the top of your particular game but still be a loser/wanker.,HOF,1,i guess it depends how you define 'winner' you can be at the top of your particular game but still be a loser/banker,8.18,0,24,0.041666666666666664,0.0,4,129,0.031007751937984496,23,0.9583333333333334,0,0.0,0.0
24,@johnnyddavidson @Six_Again @rosshmediaman @therealsteavis How many more do we need? I'd have thought hooker would have been more of a priority.,NOT,0,how many more do we need i'd have thought hooker would have been more of a priority,8.67,1,21,0.0,0.0,4,144,0.027777777777777776,19,0.9047619047619048,0,0.0,0.047619047619047616
25,Killer Pradhan Sevak Enough is Enough You had made all medical services mess #ExitModi  #ModiResign #ModiMadeDisaster #ModiHataoDeshBachao #ModiKaVaccineJumla #Resign_PM_Modi #ModiGovtSeNaHoPayega,HOF,1,killer pradhan sevak enough is enough you had made all medical services mess,14.1,1,20,0.0,0.0,31,196,0.15816326530612246,19,0.95,0,0.0,0.0
26,@shivanshfcbm Who is that wanker...on the left side in pakistan jersey.... I dont know anything about cricket other than indian players,HOF,1,who is that banker on the left side in pakistan jersey i dont know anything about cricket other than indian players,9.42,0,21,0.047619047619047616,0.0,2,135,0.014814814814814815,21,1.0,0,0.0,0.0
27,@Paul25413112 @MuroCrypto wheres my god damn green candle u god damn son of a bitch,HOF,1,where my god damn green candle u god damn son of a bitch,10.7,4,15,0.0,0.0,3,83,0.03614457831325301,13,0.8666666666666667,0,0.0,0.0
28,why U R unable to #cancel12thboardexams2021  students are fully depressed and  stressed  whole year they were in doubts only and now also they are what our govt is doing  if doubts.....not cleared since one year  @DrRPNishank   @EduMinOfIndia   @SonuSood   @ #ResignPMmodi,NOT,0,why u r unable to students are fully depressed and stressed whole year they were in doubts only and now also they are what our govt is doing if doubts not cleared since one year,11.64,0,40,0.05,0.0,15,272,0.05514705882352941,36,0.9,0,0.0,0.0
29,@JamesRedwood32 He’s not going to shag you mate,HOF,1,hes not going to sha you mate,11.93,1,8,0.0,0.0,3,47,0.06382978723404255,8,1.0,0,0.0,0.0
30,Highly feel ashamed to say that i am an indian i live in a country where the govt doesnt give a shit to students demands &amp; their health..where the country fails to control the pandemic moreover tries to increase it!! Oh god india sucks now!!  #ResignModi  #dontignore12thstudents,HOF,1,highly feel ashamed to say that i am an indian i live in a country where the govt doesnt give a shit to students demands &amp their health where the country fails to control the pandemic moreover tries to increase it oh god india sucks now,10.85,3,47,0.0,0.0,4,283,0.014134275618374558,39,0.8297872340425532,0,0.0851063829787234,0.0
31,"CNN is fucking stupid for having George Bushs head attorney on ETHICS to describe why Trump is bad, really?!? Iraq?! Guantanamo?! Dick Cheney?!",HOF,1,cnn is fucking stupid for having george buses head attorney on ethics to describe why trump is bad really iraq guantanamo dick cheney,13.02,3,23,0.08695652173913043,0.0,16,143,0.11188811188811189,22,0.9565217391304348,0,0.17391304347826086,0.21739130434782608
32,took son into cex this morning to get a new game. went up to pay for it. lad behind desk says good mornin. without a blink of an eye me son shouts back “fuck off you bo smellin goth cunt” whole shop erupts into laughs an cheers. hes only 1 year old!! cheers,HOF,1,took son into sex this morning to get a new game went up to pay for it lad behind desk says good morning without a blink of an eye me son shouts back fuck off you bo smelling goth count whole shop erupts into laughs an cheers hes only year old cheers,10.73,0,53,0.0,0.0,0,257,0.0,48,0.9056603773584906,0,0.03773584905660377,0.0
33,"@swimgoose666 @Carolinaweeper @WTAE DJ, you poor thing. You have much hate in your heart.    I suggest you get a hug asap.   Is Pride Month not about gay people?  What are we missing here?",NOT,0,dj you poor thing you have much hate in your heart i suggest you get a hug asap is pride month not about gay people what are we missing here,8.28,1,33,0.09090909090909091,0.0,13,188,0.06914893617021277,32,0.9696969696969697,0,0.0,0.06060606060606061
34,The true stature of the seat and office of PM has been reduced to shamelessness . After such a rap- only the most insolent and treasonous of person would not resign. The HC clearly says you are wilfully ignoring the apocalypse. #ResignModi Before it becomes #ConvictModi https://t.co/Xh1M5vTCDQ,HOF,1,the true stature of the seat and office of pm has been reduced to shamelessness after such a rap only the most insolvent and treasonous of person would not resign the hc clearly says you are willfully ignoring the apocalypse before it becomes,11.26,0,47,0.0425531914893617,0.0,18,294,0.061224489795918366,41,0.8723404255319149,1,0.0,0.0
35,@fetishxxxsel letâ€™s not... that ugly bitch doesnâ€™t deserve any â€œhitâ€ tweets,HOF,1,lettrade marks not that ugly bitch doesntrade mark deserve any hit tweets,17.1,1,11,0.0,0.0,0,83,0.0,11,1.0,0,0.0,0.0
36,"Never we had a leader, cabinet, head of various institutions with combined IQ so low. Any religion or God is as good as it makes the followers treat each other and these saviors fail at that too spitting abuses on social media everywhere. No plan or updates on crisis. #ResignModi",NOT,0,never we had a leader cabinet head of various institutions with combined iq so low any religion or god is as good as it makes the followers treat each other and these savior fail at that too spitting abuses on social media everywhere no plan or updates on crisis,9.2,1,50,0.02,0.0,8,280,0.02857142857142857,47,0.94,0,0.0,0.0
37,We said the last appointment we HAD to get it right. We have to get this one 1000% right otherwise just fold and fuck it off @everton,HOF,1,we said the last appointment we had to get it right we have to get this one % right otherwise just fold and fuck it off,6.65,1,27,0.037037037037037035,0.0,5,133,0.03759398496240601,23,0.8518518518518519,0,0.0,0.0
38,Fucking disgrace. #China State a/c tweet: â€œChina lighting a fire versus India lighting a fire.â€ ðŸ¤¬ #auspol #IndiaCovidCrisis Ping: @SayNoToSino @G_Parker (reported on @cnn) https://t.co/SaSelDKqte,HOF,1,fucking disgrace state a/c tweet china lighting a fire versus india lighting a fire ping (reported on ),18.14,2,25,0.0,0.0,20,202,0.09900990099009901,23,0.92,1,0.0,0.0
39,"Heart wrenching to see people gasping for air, left to themselves to die. Praying for the people of India. #IndiaCovidCrisis #COVID19India #IndiaCovidCrisis",NOT,0,heart wrenching to see people grasping for air left to themselves to die praying for the people of india,9.21,0,22,0.0,0.0,15,156,0.09615384615384616,17,0.7727272727272727,0,0.0,0.0
40,@sri50 Its a shame! #BengalViolence #BengalBurning,NOT,0,its a shame,11.83,0,6,0.0,0.0,5,50,0.1,6,1.0,0,0.16666666666666666,0.0
41,"Pls make the #CovidVaccine available.#Ahmednagar Whenever I'm going to book slot for vaccination, it get disappear within fraction of second, like flash sale. Slot opening time is also not fixed, something wrong is happening inside. @Ahmednagarlive  @RTAhmednagar @InfoAhmednagar",NOT,0,pls make the available whenever i'm going to book slot for vaccination it get disappear within fraction of second like flash sale slot opening time is also not fixed something wrong is happening inside,10.81,0,38,0.0,0.0,13,279,0.04659498207885305,37,0.9736842105263158,0,0.0,0.0
42,"Raghuran Rajan says India's Corona crisis has revealed complacency and lack of foresight"".. In Feb Modi was bragging like a fool that ""India has defeated Corona"" #Resign_PM_Modi #ResignHarshvardhan",HOF,1,"raghuran raja says india's corona crisis has revealed complacency and lack of foresight"" in feb modi was bragging like a fool that ""india has defeated corona""",13.92,0,28,0.0,0.0,15,197,0.07614213197969544,27,0.9642857142857143,0,0.0,0.0
43,@ZoyaHighVibe @reptardedtrans Shag her anyway!,NOT,0,sha her anyway,13.36,1,5,0.0,0.0,4,46,0.08695652173913043,5,1.0,0,0.2,0.0
44,whore isnâ€™t even an insult at this point idk why men use it. like how am i gonna be offended by a word that men brainlessly use against virgins it has no meaning,HOF,1,whore isntrade mark even an insult at this point id why men use it like how am i going to be offended by a word that men brainlessly use against virgins it has no meaning,9.58,1,33,0.0,0.0,0,163,0.0,31,0.9393939393939394,0,0.0,0.0
45,@madamcolebaybay Yep. I’m a nice guy then boom ain’t one. Like fuck off. Lol,HOF,1,yep im a nice guy then boom aint one like fuck off lol,10.75,2,14,0.0,0.0,4,76,0.05263157894736842,14,1.0,0,0.0,0.0
46,"This is Crime against Humanity, Modi Ji is a failed PM of India's History.  #ExitModi #ResignModi https://t.co/X7LC7syRBT",HOF,1,this is crime against humanity modi ji is a failed pm of india's history,16.55,2,17,0.058823529411764705,0.0,19,121,0.15702479338842976,16,0.9411764705882353,1,0.0,0.0
47,I ran a large Fb group for side effects and the amount of PRO-VAX reporting side effects was so alarming. We got shut down Monday! They act like side effects are impossible. I hate it. All these ppl with strokes within a week and docs: “unrelated.” #CovidVaccine https://t.co/ByltiHNz6l,NOT,0,i ran a large fb group for side effects and the amount of pro van reporting side effects was so alarming we got shut down monday they act like side effects are impossible i hate it all these ppl with strokes within a week and docs unrelated,9.38,0,48,0.0625,0.0,18,286,0.06293706293706294,41,0.8541666666666666,1,0.020833333333333332,0.0
48,I know it's very cheap joke. But still  🤷‍♂️ Marriage of #BillGates is destroyed by #ChineseVirus 👇🙊😃😂🤣🙈 https://t.co/ytexxTqnuj,NOT,0,i know it is very cheap joke but still person shruggingmale sign marriage of is destroyed by backhand index pointing downspeak no evil monkeysmiling face with open mouthface with tears of joyrolling on the floor laughingsee no evil monkey,10.22,0,18,0.05555555555555555,0.2222222222222222,8,128,0.0625,18,1.0,1,0.0,0.0
49,Dear @PMOIndia you are responsible for the utter disaster that you have put India in. I blame the deaths of all these people on you. #ResignModi #COVID19India #IndiaCovidCrisis,HOF,1,dear you are responsible for the utter disaster that you have put india in i blame the deaths of all these people on you,9.41,1,28,0.03571428571428571,0.0,18,176,0.10227272727272728,26,0.9285714285714286,0,0.0,0.0
50,weâve got a strong squad but even if we had the strongest squad in the world weâd win nothing with that clueless waistcoat wearing twat in charge,HOF,1,were got a strong squad but even if we had the strongest squad in the world wed win nothing with that clueless waistcoat wearing that in charge,10.24,1,27,0.0,0.0,0,149,0.0,24,0.8888888888888888,0,0.0,0.0
51,"@chigrl When my son was younger I got pretty good at the original Star Wars Battlefront but most of my true gaming skills go back to Pac Man, Donkey Kong, Centipede, Galaga, and Defender",NOT,0,when my son was younger i got pretty good at the original star wars battlefront but most of my true gaming skills go back to pac man donkey kong centipede malaga and defender,10.9,0,34,0.029411764705882353,0.0,12,186,0.06451612903225806,33,0.9705882352941176,0,0.0,0.0
52,@SynthWaave @DragonflyJonez And telling a player their mom is a whore isnâ€™t actively trying to start a confrontation ðŸ˜‚?,HOF,1,and telling a player their mom is a whore isntrade mark actively trying to start a confrontation,13.72,1,19,0.0,0.0,6,124,0.04838709677419355,17,0.8947368421052632,0,0.0,0.05263157894736842
53,@blermthesperm @caryababy Holy shit bro thank you for saving me when I almost drowned in your 200 ft pool. It was so comforting sleeping your Beverly hill mansion with your personal sleeping choir,NOT,0,holy shit bro thank you for saving me when i almost drowned in your ft pool it was so comforting sleeping your beverly hill mansion with your personal sleeping choir,11.15,1,33,0.030303030303030304,0.0,4,196,0.02040816326530612,30,0.9090909090909091,0,0.0,0.0
54,@TedLasso Lets call you with your nickname at the Spurs. You incredible wanker! ðŸ˜‰ðŸ‘ #toastme,HOF,1,lets call you with your nickname at the spurs you incredible banker,13.48,0,15,0.0,0.0,7,97,0.07216494845360824,15,1.0,0,0.06666666666666667,0.0
55,"Shameless Society , Shame on Such kind of Secularism #BengalBurning",HOF,1,shameless society shame on such kind of secularism,11.1,0,10,0.0,0.0,7,67,0.1044776119402985,10,1.0,0,0.0,0.0
56,"@Sansm909 @amitydav @Bankim1555 @timesofindia You re wrong, The argument was healthcare infrastructure being better then most countries to the size and density of population. It is the incompetent handling of the covid crisis and misuse of funds by the Go",HOF,1,you re wrong the argument was healthcare infrastructure being better then most countries to the size and density of population it is the incompetent handling of the covid crisis and misuse of funds by the go,11.34,0,40,0.0,0.0,6,255,0.023529411764705882,34,0.85,0,0.0,0.0
57,Wow this asshole is racist. https://t.co/nF5sxAT4f3,HOF,1,wow this asshole is racist,22.36,1,6,0.0,0.0,4,51,0.0784313725490196,6,1.0,1,0.0,0.0
58,This BJP government deceiving on every occasion with false promises.#ModiKaVaccineJumla,HOF,1,this bjp government receiving on every occasion with false promises,12.03,0,10,0.1,0.0,8,87,0.09195402298850575,10,1.0,0,0.0,0.0
59,"Dad has bought himself a Mercedes. Having endless fun saying things like ""hey dad, some pretentious wanker has parked a Merc outside your house"" https://t.co/Z9pUQx0tr0",HOF,1,"dad has bought himself a mercedes having endless fun saying things like ""hey dad some pretentious banker has parked a mere outside your house""",11.84,1,25,0.0,0.0,7,168,0.041666666666666664,23,0.92,1,0.0,0.0
60,"I think I will pour myself some Scotch. ""And every Englishman is a bastard"": https://t.co/2XjudcukvA",HOF,1,"i think i will pour myself some scotch ""and every englishman is a bastard""",11.75,0,15,0.13333333333333333,0.0,7,100,0.07,14,0.9333333333333333,1,0.0,0.0
61,"Get the sense that suspending #covidvaccine #patents, while welcome, isn't a solution in countries which don't have the knowledge or capacity to interpret the patent or produce the vaccine.",NOT,0,get the sense that suspending while welcome is not a solution in countries which do not have the knowledge or capacity to interpret the patent or produce the vaccine,11.06,0,29,0.0,0.0,1,189,0.005291005291005291,25,0.8620689655172413,0,0.0,0.0
62,Morally bankrupt. Disgraceful. #BoycottChina #propaganda #IndiaCovidCrisis #boycotthuawei #boycottlenovo #freetibet #UyghurGenocide https://t.co/9J90R50dja,NOT,0,morally bankrupt disgraceful,24.28,0,11,0.0,0.0,11,155,0.07096774193548387,11,1.0,1,0.0,0.0
63,"#ModiMustResign #ModiKaVaccineJumla #ModiDisasterForIndia #ModiResign Mr.Modi you say that am ready to die for the country. Now the country is not asking for your life,you are constantly asking for resignation. Resign Modi.Go home,take rest. #ModiMustResign #FarmersProtests https://t.co/6z4A5RNSxt",HOF,1,mr modi you say that am ready to die for the country now the country is not asking for your life you are constantly asking for resignation resign modi go home take rest,10.81,1,36,0.0,0.0,28,298,0.09395973154362416,31,0.8611111111111112,1,0.0,0.0
64,Alright which fucker pqrted this https://t.co/qDI8VpqaW5,HOF,1,alright which tucker parted this,22.36,1,6,0.0,0.0,5,56,0.08928571428571429,6,1.0,1,0.0,0.0
65,Hmmmm that bitch😤😡 https://t.co/S977mmPEGd,HOF,1,hmm that bitchface with steam from nosepouting face,27.52,0,4,0.0,0.5,5,42,0.11904761904761904,4,1.0,1,0.0,0.0
66,Ur son of a bitch 🖕😇,HOF,1,ur son of a bitch middle fingersmiling face with halo,9.2,1,6,0.0,0.16666666666666666,1,20,0.05,6,1.0,0,0.0,0.0
67,@BharadwajSpeaks This is bullshit. It was created in a lab and unleashed by China. #chinesevirus,HOF,1,this is bullshit it was created in a lab and unleashed by china,10.32,0,15,0.0,0.0,5,96,0.052083333333333336,15,1.0,0,0.0,0.0
68,"This is reality of UP and India Today , shown all over the world. Such a shame for us , wish the Indian media had guts to shown this kind of harsh reality. #IndiaChoked #IndiaCovidCrisis #India #cnn #UPlockdown https://t.co/nWWBjnpIzP",HOF,1,this is reality of up and india today shown all over the world such a shame for us wish the indian media had guts to shown this kind of harsh reality,10.53,0,39,0.02564102564102564,0.0,20,234,0.08547008547008547,35,0.8974358974358975,1,0.0,0.0
69,"After having my 2nd vaccine yesterday, I’ve been feeling rather ill, nausea, headache, upset stomach and ache all over, never had this with the first one 🤷‍♀️🤷‍♀️#CovidVaccine #sideeffects #COVID19",NOT,0,after having my nd vaccine yesterday ive been feeling rather ill nausea headache upset stomach and acre all over never had this with the first one person shruggingfemale signperson shruggingfemale sign,9.98,0,29,0.034482758620689655,0.0,9,197,0.04568527918781726,29,1.0,0,0.0,0.0
70,@Europarl_EN @ManfredWeber @EPPGroup #TheFutureIsYours Excellent. I want to say I believe you are ostracising #Pakistan due to their stance on raising the issue of #Islamophobia. Your attacks on Pakistan are unfair given you've allowed India to get away w,NOT,0,excellent i want to say i believe you are ostracising due to their stance on raising the issue of your attacks on pakistan are unfair given you have allowed india to get away w,10.35,0,39,0.05128205128205128,0.0,21,255,0.08235294117647059,34,0.8717948717948718,0,0.0,0.0
71,"@VMBJP @BJP4Bengal @BJP4India @narendramodi @JPNadda @AmitShah @DilipGhoshBJP @RahulSinhaBJP First of all i am a real bjp hater. But what just happened shouldn't be happnd again, not only for just a minister or mp whatever, for every single citizen also.This is happening evrywhre in india to minorities of the plces. But the actions of govt is very shameful. #ResignModi",HOF,1,first of all i am a real bjp later but what just happened should not be happnd again not only for just a minister or mp whatever for every single citizen also this is happening evrywhre in india to minorities of the places but the actions of govt is very shameful,11.13,0,58,0.017241379310344827,0.0,34,371,0.09164420485175202,50,0.8620689655172413,0,0.0,0.0
72,@TorontoStar Reporting the blood clot occurrences the way you are is also hurting the pandemic efforts. #COVID19 #AstraZeneca #CovidVaccine,NOT,0,reporting the blood clot occurrences the way you are is also hurting the pandemic efforts,12.89,0,19,0.05263157894736842,0.0,12,139,0.08633093525179857,17,0.8947368421052632,0,0.0,0.0
73,@tarang_chawla I am so sorry for what our Australian Indian community is suffering right now. The AUS Govt could &amp; should do so much more to assist India during this Covid crisis. And the ban on Australian citizens returning home from India is blatant racism. 🙏😥 #auspol #IndiaCovidCrisis,HOF,1,i am so sorry for what our australian indian community is suffering right now the aus govt could &amp should do so much more to assist india during this covid crisis and the ban on australian citizens returning home from india is blatant racism folded handsdisappointed but relieved face,10.35,1,48,0.041666666666666664,0.041666666666666664,16,292,0.0547945205479452,44,0.9166666666666666,0,0.0,0.0
74,jade the grown ass woman who liked the girl she babysat? don’t piss me off,HOF,1,jade the grown ass woman who liked the girl she babysat dont piss me off,11.75,3,15,0.0,0.0,0,74,0.0,14,0.9333333333333333,0,0.0,0.06666666666666667
75,Damn I really wish I was in a band again,NOT,0,damn i really wish i was in a band again,5.71,1,10,0.2,0.0,3,40,0.075,9,0.9,0,0.0,0.0
76,@KashmiriPandit7 @KashmiriPandit7 you all are fools so don't come to teach us our culture #Resign_PM_Modi #boycottbjp #Resign_PM_Modi #ResignModi #ResignPMmodi,HOF,1,you all are fools so do not come to teach us our culture,10.4,0,19,0.0,0.0,17,159,0.1069182389937107,17,0.8947368421052632,0,0.0,0.0
77,@Ly_Jitsu look at this hooker boi,HOF,1,look at this hooker boi,11.83,1,6,0.0,0.0,2,33,0.06060606060606061,6,1.0,0,0.0,0.0
78,@wormz99 @WUT_Woomer @singtoconley My grandma is 103 and begs for the sweet release of death every day  at 80 I'm going on a cocaine and hooker binge so I can go out how I want too,HOF,1,my grandma is and begs for the sweet release of death every day at i'm going on a cocaine and hooker binge so i can go out how i want too,9.81,3,36,0.05555555555555555,0.0,8,180,0.044444444444444446,34,0.9444444444444444,0,0.0,0.0
79,@Mallen_10 @Bazrob86 @scaifey1980 Need 2 like. But I’ll let u know big pimp.,HOF,1,need like but ill let u know big pimp,12.46,0,13,0.0,0.0,5,76,0.06578947368421052,13,1.0,0,0.0,0.0
80,"@valeriekeane53 thats just pure bollocks on sticks, thats the elites game to get folk raging against china so their kids will die on a hill for them, the economic ballance switches from east to west and vice versa every 500 years, the west is bankrupt, get used to it rather than wage war 1/2",HOF,1,thats just pure bollocks on sticks thats the elites game to get folk raging against china so their kids will die on a hill for them the economic balance switches from east to west and vice versa every years the west is bankrupt get used to it rather than wage war /2,11.87,2,54,0.0,0.0,0,292,0.0,46,0.8518518518518519,0,0.0,0.0
