,text,task_2,PRFN,OFFN,NONE,c_text
12,@vonderleyen Shame on you!! We are not idiots. Any thing less than #TripsWaiver and technology transfer will kill millions. No more deflection tactics. Put human life's before the profit of #BigPharma. No more criminal #CovidVaccine politics. Let the,HATE,0,0,0, shame on you we are not idiots any thing less than tripswaiver and technology transfer will kill millions no more deflection tactics put human life's before the profit of bigpharma no more criminal covidvaccine politics let the
13,@ArmaanS13738198 @narendramodi If we r already so defame in nation then why u r giving us attention? Why you ass is getting fire ðŸ”¥ BJP IT CELL #FarmersProtest #FarmLawsWorstThanCOVID #COVID19 #ResignModi,OFFN,0,1,0,  if we r already so defame in nation then why u r giving us attention why you ass is getting fire ðÿ”¥ bjp it cell farmersprotest farmlawsworstthancovid covid19 resignmodi
14,A disgrace to all mankind!! Where is Modi?? Indians left to fend for themselves while MODI fends for Ambani and Adnani!  #ResignModi,OFFN,0,1,0,a disgrace to all mankind where is modi indians left to fend for themselves while modi fends for ambani and adnani  resignmodi
15,@mixtapeminimus1 Shit is sexy,NONE,0,0,1, shit is sexy
16,@cryptozissou @Adouble212 Well price action is actually hooker to me,NONE,0,0,1,  well price action is actually hooker to me
17,"Images are disturbing, to say the least!  #IndiaCovidCrisis #CovidIndiaInfo #NarendraModi https://t.co/4zmgrtD2vx",NONE,0,0,1,images are disturbing to say the least  indiacovidcrisis covidindiainfo narendramodi httpstco4zmgrtd2vx
18,"Unfortunately, when MONEY can't buy you everything!   #IPL2021 #IndianPremierLeague  #IndiaCovidCrisis #Cricket #IPL #iplsuspended https://t.co/VvOS1oqcUH",NONE,0,0,1,unfortunately when money can't buy you everything   ipl2021 indianpremierleague  indiacovidcrisis cricket ipl iplsuspended httpstcovvos1oqcuh
19,#COVIDIOTS #ResignModi  Really sad 🥲  https://t.co/Xy5u5mbx79,NONE,0,0,1,covidiots resignmodi  really sad 🥲  httpstcoxy5u5mbx79
20,The situation all around us is extremely painful.I can't albe to see it any more..ppl are loosing their hope. Only God knows when will this all end.God will never forgive anyone who behaves as a opportunistic in this inhumane crisis. #wuhanvirus @WIONews @PMOIndia @arunbothra,NONE,0,0,1,the situation all around us is extremely painfuli can't albe to see it any moreppl are loosing their hope only god knows when will this all endgod will never forgive anyone who behaves as a opportunistic in this inhumane crisis wuhanvirus   
21,@globaltimesnews You bastard Fucking chinese chinki. Shame on you. You are responsible for this chinese virus from #Wuhan @USAndIndia @EOIBeijing #China #chineseVirus @ZeeNews @_Aaj_Tak @indiatvnews https://t.co/7qPTEs5lfo,OFFN,0,1,0, you bastard fucking chinese chinki shame on you you are responsible for this chinese virus from wuhan   china chinesevirus  aajtak  httpstco7qptes5lfo
22,"@VivekVs1963 Delhi really needs new cremation grounds. What prescience of our great leaders, cutting trees and making space, killing two birds with one stone!! #StopCentralVistaProject  #DelhiCantBreathe  #IndiaCovidCrisis",NONE,0,0,1, delhi really needs new cremation grounds what prescience of our great leaders cutting trees and making space killing two birds with one stone stopcentralvistaproject  delhicantbreathe  indiacovidcrisis
23,@ZubyMusic I guess it depends how you define 'winner'. You can be at the top of your particular game but still be a loser/wanker.,PRFN,1,0,0, i guess it depends how you define 'winner' you can be at the top of your particular game but still be a loserwanker
24,@johnnyddavidson @Six_Again @rosshmediaman @therealsteavis How many more do we need? I'd have thought hooker would have been more of a priority.,NONE,0,0,1, again   how many more do we need i'd have thought hooker would have been more of a priority
25,Killer Pradhan Sevak Enough is Enough You had made all medical services mess #ExitModi  #ModiResign #ModiMadeDisaster #ModiHataoDeshBachao #ModiKaVaccineJumla #Resign_PM_Modi #ModiGovtSeNaHoPayega,OFFN,0,1,0,killer pradhan sevak enough is enough you had made all medical services mess exitmodi  modiresign modimadedisaster modihataodeshbachao modikavaccinejumla resignpmmodi modigovtsenahopayega
26,@shivanshfcbm Who is that wanker...on the left side in pakistan jersey.... I dont know anything about cricket other than indian players,PRFN,1,0,0, who is that wankeron the left side in pakistan jersey i dont know anything about cricket other than indian players
27,@Paul25413112 @MuroCrypto wheres my god damn green candle u god damn son of a bitch,OFFN,0,1,0,  wheres my god damn green candle u god damn son of a bitch
28,why U R unable to #cancel12thboardexams2021  students are fully depressed and  stressed  whole year they were in doubts only and now also they are what our govt is doing  if doubts.....not cleared since one year  @DrRPNishank   @EduMinOfIndia   @SonuSood   @ #ResignPMmodi,NONE,0,0,1,why u r unable to cancel12thboardexams2021  students are fully depressed and  stressed  whole year they were in doubts only and now also they are what our govt is doing  if doubtsnot cleared since one year            resignpmmodi
29,@JamesRedwood32 He’s not going to shag you mate,PRFN,1,0,0, he’s not going to shag you mate
30,Highly feel ashamed to say that i am an indian i live in a country where the govt doesnt give a shit to students demands &amp; their health..where the country fails to control the pandemic moreover tries to increase it!! Oh god india sucks now!!  #ResignModi  #dontignore12thstudents,HATE,0,0,0,highly feel ashamed to say that i am an indian i live in a country where the govt doesnt give a shit to students demands amp their healthwhere the country fails to control the pandemic moreover tries to increase it oh god india sucks now  resignmodi  dontignore12thstudents
31,"CNN is fucking stupid for having George Bushs head attorney on ETHICS to describe why Trump is bad, really?!? Iraq?! Guantanamo?! Dick Cheney?!",OFFN,0,1,0,cnn is fucking stupid for having george bushs head attorney on ethics to describe why trump is bad really iraq guantanamo dick cheney
32,took son into cex this morning to get a new game. went up to pay for it. lad behind desk says good mornin. without a blink of an eye me son shouts back “fuck off you bo smellin goth cunt” whole shop erupts into laughs an cheers. hes only 1 year old!! cheers,PRFN,1,0,0,took son into cex this morning to get a new game went up to pay for it lad behind desk says good mornin without a blink of an eye me son shouts back “fuck off you bo smellin goth cunt” whole shop erupts into laughs an cheers hes only 1 year old cheers
33,"@swimgoose666 @Carolinaweeper @WTAE DJ, you poor thing. You have much hate in your heart.    I suggest you get a hug asap.   Is Pride Month not about gay people?  What are we missing here?",NONE,0,0,1,   dj you poor thing you have much hate in your heart    i suggest you get a hug asap   is pride month not about gay people  what are we missing here
34,The true stature of the seat and office of PM has been reduced to shamelessness . After such a rap- only the most insolent and treasonous of person would not resign. The HC clearly says you are wilfully ignoring the apocalypse. #ResignModi Before it becomes #ConvictModi https://t.co/Xh1M5vTCDQ,OFFN,0,1,0,the true stature of the seat and office of pm has been reduced to shamelessness  after such a rap only the most insolent and treasonous of person would not resign the hc clearly says you are wilfully ignoring the apocalypse resignmodi before it becomes convictmodi httpstcoxh1m5vtcdq
35,@fetishxxxsel letâ€™s not... that ugly bitch doesnâ€™t deserve any â€œhitâ€ tweets,OFFN,0,1,0, letâ€trade marks not that ugly bitch doesnâ€trade markt deserve any â€œhitâ€ tweets
36,"Never we had a leader, cabinet, head of various institutions with combined IQ so low. Any religion or God is as good as it makes the followers treat each other and these saviors fail at that too spitting abuses on social media everywhere. No plan or updates on crisis. #ResignModi",NONE,0,0,1,never we had a leader cabinet head of various institutions with combined iq so low any religion or god is as good as it makes the followers treat each other and these saviors fail at that too spitting abuses on social media everywhere no plan or updates on crisis resignmodi
37,We said the last appointment we HAD to get it right. We have to get this one 1000% right otherwise just fold and fuck it off @everton,PRFN,1,0,0,we said the last appointment we had to get it right we have to get this one 1000 right otherwise just fold and fuck it off 
38,Fucking disgrace. #China State a/c tweet: â€œChina lighting a fire versus India lighting a fire.â€ ðŸ¤¬ #auspol #IndiaCovidCrisis Ping: @SayNoToSino @G_Parker (reported on @cnn) https://t.co/SaSelDKqte,HATE,0,0,0,fucking disgrace china state ac tweet â€œchina lighting a fire versus india lighting a fireâ€ ðÿ¤¬ auspol indiacovidcrisis ping  parker reported on  httpstcosaseldkqte
39,"Heart wrenching to see people gasping for air, left to themselves to die. Praying for the people of India. #IndiaCovidCrisis #COVID19India #IndiaCovidCrisis",NONE,0,0,1,heart wrenching to see people gasping for air left to themselves to die praying for the people of india indiacovidcrisis covid19india indiacovidcrisis
40,@sri50 Its a shame! #BengalViolence #BengalBurning,NONE,0,0,1, its a shame bengalviolence bengalburning
41,"Pls make the #CovidVaccine available.#Ahmednagar Whenever I'm going to book slot for vaccination, it get disappear within fraction of second, like flash sale. Slot opening time is also not fixed, something wrong is happening inside. @Ahmednagarlive  @RTAhmednagar @InfoAhmednagar",NONE,0,0,1,pls make the covidvaccine availableahmednagar whenever i'm going to book slot for vaccination it get disappear within fraction of second like flash sale slot opening time is also not fixed something wrong is happening inside    
42,"Raghuran Rajan says India's Corona crisis has revealed complacency and lack of foresight"".. In Feb Modi was bragging like a fool that ""India has defeated Corona"" #Resign_PM_Modi #ResignHarshvardhan",OFFN,0,1,0,raghuran rajan says india's corona crisis has revealed complacency and lack of foresight in feb modi was bragging like a fool that india has defeated corona resignpmmodi resignharshvardhan
43,@ZoyaHighVibe @reptardedtrans Shag her anyway!,NONE,0,0,1,  shag her anyway
44,whore isnâ€™t even an insult at this point idk why men use it. like how am i gonna be offended by a word that men brainlessly use against virgins it has no meaning,HATE,0,0,0,whore isnâ€trade markt even an insult at this point idk why men use it like how am i gonna be offended by a word that men brainlessly use against virgins it has no meaning
45,@madamcolebaybay Yep. I’m a nice guy then boom ain’t one. Like fuck off. Lol,PRFN,1,0,0, yep i’m a nice guy then boom ain’t one like fuck off lol
46,"This is Crime against Humanity, Modi Ji is a failed PM of India's History.  #ExitModi #ResignModi https://t.co/X7LC7syRBT",HATE,0,0,0,this is crime against humanity modi ji is a failed pm of india's history  exitmodi resignmodi httpstcox7lc7syrbt
47,I ran a large Fb group for side effects and the amount of PRO-VAX reporting side effects was so alarming. We got shut down Monday! They act like side effects are impossible. I hate it. All these ppl with strokes within a week and docs: “unrelated.” #CovidVaccine https://t.co/ByltiHNz6l,NONE,0,0,1,i ran a large fb group for side effects and the amount of provax reporting side effects was so alarming we got shut down monday they act like side effects are impossible i hate it all these ppl with strokes within a week and docs “unrelated” covidvaccine httpstcobyltihnz6l
48,I know it's very cheap joke. But still  🤷‍♂️ Marriage of #BillGates is destroyed by #ChineseVirus 👇🙊😃😂🤣🙈 https://t.co/ytexxTqnuj,NONE,0,0,1,i know it's very cheap joke but still  person shrugging‍male sign marriage of billgates is destroyed by chinesevirus backhand index pointing downspeaknoevil monkeysmiling face with open mouthface with tears of joyrolling on the floor laughingseenoevil monkey httpstcoytexxtqnuj
49,Dear @PMOIndia you are responsible for the utter disaster that you have put India in. I blame the deaths of all these people on you. #ResignModi #COVID19India #IndiaCovidCrisis,HATE,0,0,0,dear  you are responsible for the utter disaster that you have put india in i blame the deaths of all these people on you resignmodi covid19india indiacovidcrisis
50,weâve got a strong squad but even if we had the strongest squad in the world weâd win nothing with that clueless waistcoat wearing twat in charge,PRFN,1,0,0,weâve got a strong squad but even if we had the strongest squad in the world weâd win nothing with that clueless waistcoat wearing twat in charge
51,"@chigrl When my son was younger I got pretty good at the original Star Wars Battlefront but most of my true gaming skills go back to Pac Man, Donkey Kong, Centipede, Galaga, and Defender",NONE,0,0,1, when my son was younger i got pretty good at the original star wars battlefront but most of my true gaming skills go back to pac man donkey kong centipede galaga and defender
52,@SynthWaave @DragonflyJonez And telling a player their mom is a whore isnâ€™t actively trying to start a confrontation ðŸ˜‚?,OFFN,0,1,0,  and telling a player their mom is a whore isnâ€trade markt actively trying to start a confrontation ðÿ˜‚
53,@blermthesperm @caryababy Holy shit bro thank you for saving me when I almost drowned in your 200 ft pool. It was so comforting sleeping your Beverly hill mansion with your personal sleeping choir,NONE,0,0,1,  holy shit bro thank you for saving me when i almost drowned in your 200 ft pool it was so comforting sleeping your beverly hill mansion with your personal sleeping choir
54,@TedLasso Lets call you with your nickname at the Spurs. You incredible wanker! ðŸ˜‰ðŸ‘ #toastme,OFFN,0,1,0, lets call you with your nickname at the spurs you incredible wanker ðÿ˜‰ðÿ‘ toastme
55,"Shameless Society , Shame on Such kind of Secularism #BengalBurning",HATE,0,0,0,shameless society  shame on such kind of secularism bengalburning
56,"@Sansm909 @amitydav @Bankim1555 @timesofindia You re wrong, The argument was healthcare infrastructure being better then most countries to the size and density of population. It is the incompetent handling of the covid crisis and misuse of funds by the Go",HATE,0,0,0,    you re wrong the argument was healthcare infrastructure being better then most countries to the size and density of population it is the incompetent handling of the covid crisis and misuse of funds by the go
57,Wow this asshole is racist. https://t.co/nF5sxAT4f3,PRFN,1,0,0,wow this asshole is racist httpstconf5sxat4f3
58,This BJP government deceiving on every occasion with false promises.#ModiKaVaccineJumla,HATE,0,0,0,this bjp government deceiving on every occasion with false promisesmodikavaccinejumla
59,"Dad has bought himself a Mercedes. Having endless fun saying things like ""hey dad, some pretentious wanker has parked a Merc outside your house"" https://t.co/Z9pUQx0tr0",PRFN,1,0,0,dad has bought himself a mercedes having endless fun saying things like hey dad some pretentious wanker has parked a merc outside your house httpstcoz9puqx0tr0
60,"I think I will pour myself some Scotch. ""And every Englishman is a bastard"": https://t.co/2XjudcukvA",OFFN,0,1,0,i think i will pour myself some scotch and every englishman is a bastard httpstco2xjudcukva
61,"Get the sense that suspending #covidvaccine #patents, while welcome, isn't a solution in countries which don't have the knowledge or capacity to interpret the patent or produce the vaccine.",NONE,0,0,1,get the sense that suspending covidvaccine patents while welcome isn't a solution in countries which don't have the knowledge or capacity to interpret the patent or produce the vaccine
62,Morally bankrupt. Disgraceful. #BoycottChina #propaganda #IndiaCovidCrisis #boycotthuawei #boycottlenovo #freetibet #UyghurGenocide https://t.co/9J90R50dja,NONE,0,0,1,morally bankrupt disgraceful boycottchina propaganda indiacovidcrisis boycotthuawei boycottlenovo freetibet uyghurgenocide httpstco9j90r50dja
63,"#ModiMustResign #ModiKaVaccineJumla #ModiDisasterForIndia #ModiResign Mr.Modi you say that am ready to die for the country. Now the country is not asking for your life,you are constantly asking for resignation. Resign Modi.Go home,take rest. #ModiMustResign #FarmersProtests https://t.co/6z4A5RNSxt",HATE,0,0,0,modimustresign modikavaccinejumla modidisasterforindia modiresign mrmodi you say that am ready to die for the country now the country is not asking for your lifeyou are constantly asking for resignation resign modigo hometake rest modimustresign farmersprotests httpstco6z4a5rnsxt
64,Alright which fucker pqrted this https://t.co/qDI8VpqaW5,PRFN,1,0,0,alright which fucker pqrted this httpstcoqdi8vpqaw5
65,Hmmmm that bitch😤😡 https://t.co/S977mmPEGd,PRFN,1,0,0,hmmmm that bitchface with steam from nosepouting face httpstcos977mmpegd
66,Ur son of a bitch 🖕😇,PRFN,1,0,0,ur son of a bitch middle fingersmiling face with halo
67,@BharadwajSpeaks This is bullshit. It was created in a lab and unleashed by China. #chinesevirus,HATE,0,0,0, this is bullshit it was created in a lab and unleashed by china chinesevirus
68,"This is reality of UP and India Today , shown all over the world. Such a shame for us , wish the Indian media had guts to shown this kind of harsh reality. #IndiaChoked #IndiaCovidCrisis #India #cnn #UPlockdown https://t.co/nWWBjnpIzP",HATE,0,0,0,this is reality of up and india today  shown all over the world such a shame for us  wish the indian media had guts to shown this kind of harsh reality indiachoked indiacovidcrisis india cnn uplockdown httpstconwwbjnpizp
69,"After having my 2nd vaccine yesterday, I’ve been feeling rather ill, nausea, headache, upset stomach and ache all over, never had this with the first one 🤷‍♀️🤷‍♀️#CovidVaccine #sideeffects #COVID19",NONE,0,0,1,after having my 2nd vaccine yesterday i’ve been feeling rather ill nausea headache upset stomach and ache all over never had this with the first one person shrugging‍female signperson shrugging‍female signcovidvaccine sideeffects covid19
70,@Europarl_EN @ManfredWeber @EPPGroup #TheFutureIsYours Excellent. I want to say I believe you are ostracising #Pakistan due to their stance on raising the issue of #Islamophobia. Your attacks on Pakistan are unfair given you've allowed India to get away w,NONE,0,0,1,en   thefutureisyours excellent i want to say i believe you are ostracising pakistan due to their stance on raising the issue of islamophobia your attacks on pakistan are unfair given you've allowed india to get away w
71,"@VMBJP @BJP4Bengal @BJP4India @narendramodi @JPNadda @AmitShah @DilipGhoshBJP @RahulSinhaBJP First of all i am a real bjp hater. But what just happened shouldn't be happnd again, not only for just a minister or mp whatever, for every single citizen also.This is happening evrywhre in india to minorities of the plces. But the actions of govt is very shameful. #ResignModi",HATE,0,0,0,        first of all i am a real bjp hater but what just happened shouldn't be happnd again not only for just a minister or mp whatever for every single citizen alsothis is happening evrywhre in india to minorities of the plces but the actions of govt is very shameful resignmodi
72,@TorontoStar Reporting the blood clot occurrences the way you are is also hurting the pandemic efforts. #COVID19 #AstraZeneca #CovidVaccine,NONE,0,0,1, reporting the blood clot occurrences the way you are is also hurting the pandemic efforts covid19 astrazeneca covidvaccine
73,@tarang_chawla I am so sorry for what our Australian Indian community is suffering right now. The AUS Govt could &amp; should do so much more to assist India during this Covid crisis. And the ban on Australian citizens returning home from India is blatant racism. 🙏😥 #auspol #IndiaCovidCrisis,HATE,0,0,0,chawla i am so sorry for what our australian indian community is suffering right now the aus govt could amp should do so much more to assist india during this covid crisis and the ban on australian citizens returning home from india is blatant racism folded handsdisappointed but relieved face auspol indiacovidcrisis
74,jade the grown ass woman who liked the girl she babysat? don’t piss me off,PRFN,1,0,0,jade the grown ass woman who liked the girl she babysat don’t piss me off
75,Damn I really wish I was in a band again,NONE,0,0,1,damn i really wish i was in a band again
76,@KashmiriPandit7 @KashmiriPandit7 you all are fools so don't come to teach us our culture #Resign_PM_Modi #boycottbjp #Resign_PM_Modi #ResignModi #ResignPMmodi,HATE,0,0,0,  you all are fools so don't come to teach us our culture resignpmmodi boycottbjp resignpmmodi resignmodi resignpmmodi
77,@Ly_Jitsu look at this hooker boi,OFFN,0,1,0,jitsu look at this hooker boi
78,@wormz99 @WUT_Woomer @singtoconley My grandma is 103 and begs for the sweet release of death every day  at 80 I'm going on a cocaine and hooker binge so I can go out how I want too,PRFN,1,0,0, woomer  my grandma is 103 and begs for the sweet release of death every day  at 80 i'm going on a cocaine and hooker binge so i can go out how i want too
79,@Mallen_10 @Bazrob86 @scaifey1980 Need 2 like. But I’ll let u know big pimp.,PRFN,1,0,0,10   need 2 like but i’ll let u know big pimp
80,"@valeriekeane53 thats just pure bollocks on sticks, thats the elites game to get folk raging against china so their kids will die on a hill for them, the economic ballance switches from east to west and vice versa every 500 years, the west is bankrupt, get used to it rather than wage war 1/2",PRFN,1,0,0, thats just pure bollocks on sticks thats the elites game to get folk raging against china so their kids will die on a hill for them the economic ballance switches from east to west and vice versa every 500 years the west is bankrupt get used to it rather than wage war 12
81,Lol asshole got a state pardon only to be hit with fed charges. Take this life sentence and die in jail shitbag. They need to get the child rapist and co worker killer too. https://t.co/8l86N9lMRN,PRFN,1,0,0,lol asshole got a state pardon only to be hit with fed charges take this life sentence and die in jail shitbag they need to get the child rapist and co worker killer too httpstco8l86n9lmrn
82,bitch i’m worth more,PRFN,1,0,0,bitch i’m worth more
83,Please keep donating for the #IndiaCovidCrisis - I am scared to check my phone first thing in the morning. https://t.co/ZKl51DAp4p,NONE,0,0,1,please keep donating for the indiacovidcrisis  i am scared to check my phone first thing in the morning httpstcozkl51dap4p
84,"@mlkhattar @BJP4India @BJP4Bengal I don't support any type of violence. Aap logo dwara laaso ka sauda bardasht ke bahar hai. Please dont divert on bullshit, provide oxygen to everyone. #ResignPMmodi #ResignModi",PRFN,1,0,0,   i don't support any type of violence aap logo dwara laaso ka sauda bardasht ke bahar hai please dont divert on bullshit provide oxygen to everyone resignpmmodi resignmodi
85,"@mmMOUF @CDCarter13 Okay, this isn't fair all top b****** love their pimp.  No kidding, I typed in Trump and pimp and a picture of his wife came up at the top. Not that there's anything wrong with that https://t.co/UWuwPxqxQY",PRFN,1,0,0,  okay this isn't fair all top b love their pimp  no kidding i typed in trump and pimp and a picture of his wife came up at the top not that there's anything wrong with that httpstcouwuwpxqxqy
86,"@9livesrock That's some serious dig bicc energy there but holy shit, how can someone live with that many dogs in their house?",PRFN,1,0,0, that's some serious dig bicc energy there but holy shit how can someone live with that many dogs in their house
87,"Well, got my 1st microchip yesterday! Now my arm feels like I got slugged with brass knuckles. 💉💪👊 #covidvaccine",NONE,0,0,1,well got my 1st microchip yesterday now my arm feels like i got slugged with brass knuckles syringeflexed bicepsoncoming fist covidvaccine
88,Bengal elections are the proof of already dead conscience of our pseudo political leaders. #MamtaBanerjee #ResignPMmodi #ElectionResults2021,HATE,0,0,0,bengal elections are the proof of already dead conscience of our pseudo political leaders mamtabanerjee resignpmmodi electionresults2021
89,They my friends they would do the same hahaha I’m not buying random chicks they own hookah fuck that princess shit https://t.co/6gMJDZBMQY,PRFN,1,0,0,they my friends they would do the same hahaha i’m not buying random chicks they own hookah fuck that princess shit httpstco6gmjdzbmqy
90,@BJP4India Indian voters : Just shut the mouth seeing climax of modi ji movie. #ResignModi,OFFN,0,1,0, indian voters  just shut the mouth seeing climax of modi ji movie resignmodi
91,1) Class 12th students are depressed due to exams.   2) India trapped in pandemic.  3) Economy failed.  What we can do now? #ResignModi #ResignPMmodi,NONE,0,0,1,1 class 12th students are depressed due to exams   2 india trapped in pandemic  3 economy failed  what we can do now resignmodi resignpmmodi
92,damson cant be nigerian....i would have told all of yall to piss off and went about my day,NONE,0,0,1,damson cant be nigeriani would have told all of yall to piss off and went about my day
93,Box O' Jokes time! - My mom never saw the irony in calling me son-of-a-bitch. - - Box ha and ha and ha!,PRFN,1,0,0,box o' jokes time  my mom never saw the irony in calling me sonofabitch   box ha and ha and ha
94,Dear Indians please stop Drinking #CowPee and stop eating #CowDung and plz pray to #AlmightyGod and release #Kashmiries and say sorry to every Kashmiries... before last breath... #Modi destroyed #INDIA #IndiaCovidCrisis,NONE,0,0,1,dear indians please stop drinking cowpee and stop eating cowdung and plz pray to almightygod and release kashmiries and say sorry to every kashmiries before last breath modi destroyed india indiacovidcrisis
95,@missmendezuk @Bbmorg Yes I get that you are deliberately being a twat. Go forth and multiply,PRFN,1,0,0,  yes i get that you are deliberately being a twat go forth and multiply
96,"this is embarrassing on many levels .. hypocrisy , double standards , doosron ko preach karte ho, and he hasn't even said a single thing yet on #BengalBurning such a shame ! https://t.co/jdHHSs1wD6",HATE,0,0,0,this is embarrassing on many levels  hypocrisy  double standards  doosron ko preach karte ho and he hasn't even said a single thing yet on bengalburning such a shame  httpstcojdhhss1wd6
97,"@ndtv This is the failure of state government and central government, The whole nation are burning and the women of Gujarat were celebrating what the hell is happening in our country why they were allowed to prayer in this situation of convid, #ResignPMmodi  #COVIDEmergencyIndia",HATE,0,0,0, this is the failure of state government and central government the whole nation are burning and the women of gujarat were celebrating what the hell is happening in our country why they were allowed to prayer in this situation of convid resignpmmodi  covidemergencyindia
98,"@DeepakNambisan @MortePhoto Quite honestly, I thought sound effects had been dubbed over the actual noise.   Bloody hell ð³",NONE,0,0,1,  quite honestly i thought sound effects had been dubbed over the actual noise   bloody hell ð³
99,"I am sorry to say this but bhakts, you deserve this. #ModiKaVaccineJumla",NONE,0,0,1,i am sorry to say this but bhakts you deserve this modikavaccinejumla
100,Bloody #Chinese are making in #India! #ChineseVirus https://t.co/kZTh0E2gk6,PRFN,1,0,0,bloody chinese are making in india chinesevirus httpstcokzth0e2gk6
101,Horrible and Heart breaking. Feel the helplessness :( https://t.co/thjGnbTeoY  #IndiaCovidCrisis #PakistanstandswithIndia,NONE,0,0,1,horrible and heart breaking feel the helplessness  httpstcothjgnbteoy  indiacovidcrisis pakistanstandswithindia
102,Those who are trending this I dare you guys  If you are son/daughter of ur real dad . Than don't take vaccine and don't allow ur parents to take it   #ModiKaVaccineJumla  And still u take vaccine makes u .😝😜,NONE,0,0,1,those who are trending this i dare you guys  if you are sondaughter of ur real dad  than don't take vaccine and don't allow ur parents to take it   modikavaccinejumla  and still u take vaccine makes u face with stuckout tongue  closed eyesface with stuckout tongue  winking eye
103,@malakaddo @NVIDIAGeForce Fuck off dude. I'm not providing a fucking ID for a consumer product. That's ridiculous.,PRFN,1,0,0,  fuck off dude i'm not providing a fucking id for a consumer product that's ridiculous
