,Unnamed: 0,_id,tweet_id,text,task_1,task_2,frac_profane,polarity
26,5474,60c5d7495659ea5e55df14be,hi_hasoc_2021_5477,once in a century जैसा मनहुस पैदा होता है मनहुसमोदी का साया देश से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है resignmodi मानवता केलिऐ resignpmmodi देशभक्त हो तो,HOF,OFFN,0.0,-0.22925226390361786
27,3650,60c5d7495659ea5e55df1a0d,hi_hasoc_2021_3650,मोदी तुम इस्तीफा दो हम तुम्हारे साथ है resignmodi resignpmmodi modihataodeshbachao,NOT,NONE,0.0,-0.014434844255447388
28,3693,60c5d7495659ea5e55df1a68,hi_hasoc_2021_3693,अगर धरना देने से सब सही हो जाता तो कुरुक्षेत्र में श्री कृष्ण भी अर्जुन को यही सलाह देते पश्चिम बंगाल bengalburning,NOT,NONE,0.0,0.02294290065765381
29,1378,60c5d7495659ea5e55df0e0b,hi_hasoc_2021_1378,मुनाफ़िक़ दोस्तों से लाख अच्छे हैं खुले दुश्मन। bycottrjd justiceforshahabuddin,NOT,NONE,0.0,0.00700804591178894
30,2241,60c5d7495659ea5e55df1241,hi_hasoc_2021_2241,मरहूम सहाबुद्दीन की लाश जैसे दिल्ली गेट ito कब्रिस्तान मे सुपुर्द ए खाक हुई inshallah ऐसे ही बिहार में लालू तेरी पार्टी को सुपुर्दे खाक करेगी बिहार की जनता justiceforshahabuddin,NOT,NONE,0.0,-0.11375153064727783
31,4287,60c5d7495659ea5e55df0647,hi_hasoc_2021_4287,अगर जरा भी ज़मीर बचा है और जरा भी साहब से मोहब्बत थी तो boycottrjd करो और पार्टी पद से इस्तीफ़ा दो चाहे bjp कियु न जॉइन करना पड़े वरना ढोंगी रोना बन्द करो justiceforshahabuddin boycottrjd,HOF,HATE,0.0,-0.3472680300474167
32,5834,60c5d7495659ea5e55df18cf,hi_hasoc_2021_5838,उप्र लागू नही होता क्यों कि मै जानवर जाती हूं अतः आप अब बताइए क्या कारण बनता है भगवान राम कहतेहैं सुनोमै चक्रवर्ती महाराज की दसरथ का पुत्र राम हूंअतः मुझे यह अधिकार है कि यदि कोई पसु समाज के द्रोही हिंसक व जीव को हानी पहुंचाता होतो राजा का अधिकार है कि उसै मार दिया जाय क्रमशः,HOF,OFFN,0.0,-0.3885582834482193
33,3022,60c5d7495659ea5e55df1579,hi_hasoc_2021_3022,मैं तुम्हारी यादों को कैसे block करूँ कमीने दिल में तो ये option ही नही है,NOT,NONE,0.0,-0.4988989755511284
34,4946,60c5d7495659ea5e55df0d7c,hi_hasoc_2021_4949,सब याद रखा जायेगा justiceforshahabuddin,NOT,NONE,0.0,0.045218706130981445
35,2174,60c5d7495659ea5e55df129a,hi_hasoc_2021_2174,राजदपार्टी बेवफ़ा औरतों जैसा है जितना जल्द हो सके सभी मुस्लिम विधायक और सांसद इस्तीफा दे दे justiceforshahabuddin,NOT,NONE,0.0,-0.7578744776546955
36,3189,60c5d7495659ea5e55df16ef,hi_hasoc_2021_3189,आज शर्म से आंखें झुक गई को क्यों चुना रक्षा करने के लिए या महंगाई के लिए या रोजगार के लिए आपने क्या दिया मौत bengalburning,NOT,NONE,0.0,-0.8446998633444309
37,2788,60c5d7495659ea5e55df14b7,hi_hasoc_2021_2788,modikavaccinejumla modiresign indiafightscorona pmcaresfundकाहिसाबदो pmdoesnotcare,NOT,NONE,0.0,-0.3040712773799896
38,3452,60c5d7495659ea5e55df1a2b,hi_hasoc_2021_3452,किसी भी तरह का इस नंबर से reply नही हुआक्या मैंकल की तारीख़ में अगर कोई जान या जानवर करंट आने पर मरता हैजो अभी नही आया करंट कल को आ जाये तो कौन जिम्मेदारएक बड़े हादसे को रोकने के लिए आप से निवेदनऊपर बच्चे रहते हैंजैसा कि आप वीडियो में देख सकते हैं,NOT,NONE,0.0,-0.26247255504131317
39,809,60c5d7495659ea5e55df0bc3,hi_hasoc_2021_809,यह ख़ौफ़ की आहट हैं या मौत का सन्नाटा है indiacovidcrisis oxygencrisis,NOT,NONE,0.0,-0.8336804825812578
40,6087,60c5d7495659ea5e55df1b50,hi_hasoc_2021_6092,गांधी खानदान को गांधी की पड़पोती ने सिद्ध किया बस सात साल जेलयहां क्यों वेल पर घूम रहे है कमीने,HOF,OFFN,0.0,-0.7505594491958618
41,2830,60c5d7495659ea5e55df14f0,hi_hasoc_2021_2830,जल गई लासे हो गई राख घर आके सोई गये फिर से गुलाम fightforright resignmodi,NOT,NONE,0.0,-0.7503335028886795
42,282,60c5d7495659ea5e55df06b7,hi_hasoc_2021_282,shamemamatabannerjee राष्ट्रपतिजीबंगालसंभालो mamatabanarjee bengalburning,NOT,NONE,0.0,-0.10195133090019226
43,2682,60c5d7495659ea5e55df139d,hi_hasoc_2021_2682,लाला जी इतने फूहड़ हथकंडे अपना कर अपना नकली उत्पाद बेचने की इतनी बेशर्म प्रदर्शन के बदलें कोई और काम नही मिलता क्या,NOT,NONE,0.0,-0.3941396325826645
44,5595,60c5d7495659ea5e55df16bd,hi_hasoc_2021_5598,सुअर तेरे कितने रूप,HOF,OFFN,0.0,0.14459280669689178
45,5907,60c5d7495659ea5e55df1bb7,hi_hasoc_2021_5911,ऐसे जानवर हर दूसरे घर में भरे पड़े हैं सख्त अफ़सोस की बात हैसब वाकिफ़ हैं पर सब भुला दिया जाएगा चंद पलों में जैसे स्त्री मनुष्य ही ना हो उसकी इज्‍जत सम्मान भावनाओं का कोई मोल ही ना हो हद है क्या वहां कोई भी ऐसा पुरुष नहीं था कि अपना जूता प्रयोग कर पाता,HOF,HATE,0.0,-0.47767528891563416
46,4650,60c5d7495659ea5e55df0bc2,hi_hasoc_2021_4651,क्या गाजि़याबाद पुलिस इस अज्ञानी मुर्ख नरसिम्हानंद सरस्वती को गिरफ्तार नही कर सकतीक्या गाजि़याबाद पुलिस पर किसी का दबाव है क्या जो अबतक इस नरसिम्हानंद सरस्वती को गिरफ्तार नही किया गया देश के हर शहर से इस नरसिम्हानंद सरस्वती के खिलाफ fir हुयी फिर भी इसे गिरफ्तार नही किया गया,HOF,OFFN,0.0,-0.7387886308133602
47,3715,60c5d7495659ea5e55df1b5b,hi_hasoc_2021_3715,भाड़ में जाओ तुम प्यारी,NOT,NONE,0.0,-0.42585863173007965
48,321,60c5d7495659ea5e55df05d4,hi_hasoc_2021_321,जो शहाबुद्दीन के साथ हुआ वो आज़म खान के साथ नहीं होना चाहिए इसलिए आइए हम सब आवाज उठाते हैं justiceforshahabuddin,NOT,NONE,0.0,-0.2979155033826828
49,2707,60c5d7495659ea5e55df1320,hi_hasoc_2021_2707,ops banevm पुरानीपेंशनबहालकरो farmersprotest speakupforfarmers stopprivatization modimadedisaster npsभारतछोड़ो npsquitindia npsनिजीकरणभारतछोड़ो opsकर्मचारीकाअधिकार npsनिजीकरणकेख़िलाफ़इंक़लाब स्वास्थ्यक्षेत्रमेबजटबढ़ाओ resignpmmodi vaccineऔरmspदो,NOT,NONE,0.0,-0.18057140707969666
50,3602,60c5d7495659ea5e55df1b5a,hi_hasoc_2021_3602,मोदी विरोधियों को बंगाल की हिंसा में भी लोकतंत्र नज़र आ रहा है इसलिए सब के सब मुँह में दही जमाये बैठे हैं असहिष्णुतासंविधान की हत्या जैसे शब्द अब डिक्सनरी से गायब हैं bengalburning,NOT,NONE,0.0,-0.775827344506979
51,5715,60c5d7495659ea5e55df16eb,hi_hasoc_2021_5718,इस देश में आतंकी की लाश उसके घर वालों को मिल सकती है दलालों की लाशे उसके घर मिल सकती है पर यहां खत्म होने के बाद भी आखिरी rusumaat नहीं कर सकते। लानत हो ऐसी सरकार पे खुदा गारत करें निकम्मी सरकार को। justiceforshahabuddin,HOF,HATE,0.022222222222222223,-0.4262971132993698
52,4861,60c5d7495659ea5e55df0bd2,hi_hasoc_2021_4864,भाजपा की केंद्र मे पूर्ण बहुत की सरकार है बंगाल में 18 सांसद और करीब 80 विधायक है फिर भी उस दल का राष्ट्रीय अध्यक्ष धरने पर है ये ऑस्कर वाले कहाँ मर गये नड्डा जी को अवार्ड क्यों नहीं दे रहे हैं bengalburning,HOF,HATE,0.0,-0.703243725001812
53,4651,60c5d7495659ea5e55df0918,hi_hasoc_2021_4652,यह भेंस चोर दुसरो को अपना बाप बनाकर अपनी नाजायजी क्यु प्रस्तुत कर रहे हैं ओर साथ में ट्विटर पर अपनी नेशनल ओर इंटरनेशनल बेइज्जती करवाने से बाज़ नहीं आते rajputsamratprithvirajchauhan,HOF,HATE,0.0,-0.5907026454806328
54,1816,60c5d7495659ea5e55df0e36,hi_hasoc_2021_1816,बंगाल में ममता रंडी की सरकार है सारे मुल्ले इसके भड़वे बन गया है आसाम का बदला बंगाल में ले रही है ममता रंडी बंगाल का बदला भाजपा शासित राज्यों में ले हिन्दू दूसरा कोई रास्ता नहीं है अन्यथा हिन्दुओं को अपनी इज्जत की नीलामी खुद अपनी ऑंखों के सामने देखना पड़ेगा,HOF,OFFN,0.07692307692307693,-0.4740721955895424
55,2459,60c5d7495659ea5e55df132c,hi_hasoc_2021_2459,jmdnewsflash भारत की मदद को बढ़े हाथ जर्मनी से आए 4 क्रायोजेनिक ऑक्सीजन कंटेनर oxygen oxygencrisis germany india indiacovidcrisis indianeedsoxygen,NOT,NONE,0.0,0.12201561033725739
56,3419,60c5d7495659ea5e55df1ab1,hi_hasoc_2021_3419,लालु जैसे बाल्टी में दूध बेचने वाले नेता तब बनते हैं जब उनके पीछे शहाबुद्दीन जैसा शेर होता है justiceforshahabuddin,NOT,NONE,0.0,-0.12750820815563202
57,817,60c5d7495659ea5e55df0c9d,hi_hasoc_2021_817,शहाबुद्दीन साहब की मौत की गई है ना की उसको covid19 था justiceforshahabuddin,NOT,NONE,0.0,-0.5733596086502075
58,4741,60c5d7495659ea5e55df0c5f,hi_hasoc_2021_4742,तो आप ट्वीट करने के अलावा और कर भी क्या रहे हैं bengalviolence bengalburning,HOF,OFFN,0.0,-0.5362669825553894
59,3172,60c5d7495659ea5e55df14ed,hi_hasoc_2021_3172,बस आपकी अति कृपया होगी मुझे ये बताइए line man 9812063026 और जैई 9812063027 क्या ये मौज करने के लिए है नम्बर बंद करो और आराम से सो जाओ पब्लिक भाड़ में जाए,NOT,NONE,0.0,-0.20832763612270355
60,5822,60c5d7495659ea5e55df1d23,hi_hasoc_2021_5826,कनाडा में एक मुस्लिम परिवार के 4 फ़र्द को रौंदकर क़त्ल करने वाला आतंकवादी यहूदी है। यक़ीन जानिये अगर ये क़त्ल करने वाला मुस्लिम होता और मक़तूल फ़ैमिली ग़ैरमुस्लिम होती तो दुनिया की इस्लामोफोबिक मीडिया अबतक इस्लामिक आतंकवाद का रंडीरोना रो रही होती। islamophobiaisterrorism,HOF,HATE,0.022727272727272728,-0.7664951309561729
61,1961,60c5d7495659ea5e55df1002,hi_hasoc_2021_1961,रायगड और मेवाड़ भी धरना देते यो क्या होता हमारा bengalburning,NOT,NONE,0.0,-0.22833462059497833
62,3246,60c5d7495659ea5e55df16a4,hi_hasoc_2021_3246,मैं किसके हाँथ में अपना लहू तलाश करूँ की तमाम शहर ने पहने हुए हैं दस्ताने justiceforshahabuddin,NOT,NONE,0.0,-0.09582766890525818
63,5198,60c5d7495659ea5e55df1187,hi_hasoc_2021_5201,ये बंगाल की cm ममता बनर्जी नही हैये terror की आका डायन है जो बंगाल मे tmc पार्टी के आतंकवादी जिहादीयोंसे बलात्कारखुनखराबा बंमबारी कराती है tmcterror tmcgoons bengalburning bengalviolence mamtaisterrorist arrestmamta shameondiaonmamta shameonterroristmamtabanerjee,HOF,OFFN,0.030303030303030304,-0.6394206881523132
64,2249,60c5d7495659ea5e55df1291,hi_hasoc_2021_2249,आज़म खान साहब का इलाज aiims में कराया जाए… शहाबुद्दीन साहब की तरह उन्हें सिस्टम भरोसे नही छोड़ सकते justiceforshahabuddin,NOT,NONE,0.0,-0.3200647532939911
65,164,60c5d7495659ea5e55df0500,hi_hasoc_2021_164,जैसे ढोंगी और गुंडे लोग ज्यादा खतरा है समाज के लिए ऐसे कमीने लोग सत्ता में बने रहने के लिए किसी भी सीमा तक जा सकते है,HOF,OFFN,0.0,-0.7825938649475574
66,5962,60c5d7495659ea5e55df1cff,hi_hasoc_2021_5967,5g नेटवर्क चीन का नहीं आ रहा है पूर्ण स्वदेशी jio ला रहा है इसलिए चिन की दलाल अपने इटालियन भाभी जी के जरिए अफवाह फैला रहें हैं 5g से चिड़िया मर रही है मच्छर क्यों नही मर रहे रोज़ खून पी रहे है ट्विटर के चमचों जवाब दो,HOF,HATE,0.0,-0.7248710952699184
67,3833,60c5d7495659ea5e55df1979,hi_hasoc_2021_3833,common rss cadre from north india on bengalburning धरना के बाद चरखा भी ट्राई करो कहते है अंग्रेज डर कर भाग गये थे presidentsruleinbengal,NOT,NONE,0.0,-0.39385727047920227
68,1252,60c5d7495659ea5e55df0c5b,hi_hasoc_2021_1252,महारानी कहकर पुकारो तो कहेगी और कितनी रानियाँ रखे हो। रानी कहकर पुकारो तो कहेगी मै रानी तो महारानी कोई बाहरवाली होगी। चुप रहो तो कहेगी जैसे मुंह सिला होआप ही बताओ क्या कहूं,NOT,NONE,0.0,-0.047448307275772095
69,4838,60c5d7495659ea5e55df0bcc,hi_hasoc_2021_4841,ये जो मासूम हिन्दुओं की चिताएं जल रही हैं और अर्थीयो का अपमान हो रहा है ये सब राजनैतिक धर्मान्धता और गलत नेताओं की गुलामी का इनाम है indianeedsoxygen indianeedoxygen indianlivesmatter oxygen oxygencylinders congress rahulgandhi resignmodi modikavaccinejumla,HOF,HATE,0.0,-0.875567838549614
70,5659,60c5d7495659ea5e55df172f,hi_hasoc_2021_5662,इसके फ्री के चाटुकारों व देश के गद्दारों की वज़ह इसका रंडी रोना चल रहा है वरना यह तो जिसमें कुत्ता खाये उसमें खिलाने लायक है दोगला महाझूठा,HOF,OFFN,0.07142857142857142,-0.6833044961094856
71,5592,60c5d7495659ea5e55df1782,hi_hasoc_2021_5595,तुम चुप रहो भाईजान तुम्हे क्या है न तुम कानून के न संविधान के। तुम्हारे भाई बंध इसी tax के पैसे से 10 10 बच्चे खिला पिला रहे और योगदान 0।,HOF,OFFN,0.0,-0.748270258307457
72,4223,60c5d7495659ea5e55df1bd8,hi_hasoc_2021_4223,चुनावी हिंसा पर धरना देने वालों ऑक्सिजन की कमी और कोरोना से हो रही मौतों पर भी धरना दे दो। हिन्दू तो इसमें भी खतरे में है। हिंदू तो यहाँ भी मर रहा है। बस politics ही करनी है ऐसा बोलो ना। लेकिन शर्म इनको आती नहीं। bengalburning presidentsruleinbengal presidentruleinbengal,NOT,NONE,0.0,-0.8227147199213505
73,5977,60c5d7495659ea5e55df1991,hi_hasoc_2021_5982,बिलकुल सही अंकल जी देखकर ही गुस्सा आता है जब ये विश्लेषक की तरह नही एक दलाल की तरह बात करता है,HOF,OFFN,0.0,-0.6818622872233391
74,5609,60c5d7495659ea5e55df1713,hi_hasoc_2021_5612,elections2021 resignmodi resignpmmodi resign modi लोगो के मरने से डर नही लगता सत्ता जाने से लगता है।,HOF,OFFN,0.0,-0.16033779084682465
75,3483,60c5d7495659ea5e55df1cb5,hi_hasoc_2021_3483,क्या कोरोना की तीसरी लहर का असर बच्चों पर होगा coronavirus covid19 covidvaccine,NOT,NONE,0.0,-0.26991867274045944
76,1638,60c5d7495659ea5e55df0ffb,hi_hasoc_2021_1638,टीकाकरण अवश्य करायें vaccination covidvaccine 18plusvaccination cgfightscorona,NOT,NONE,0.0,-0.048629194498062134
77,2962,60c5d7495659ea5e55df1503,hi_hasoc_2021_2962,why you are giving us so much attention if we r fake farmers prayforfarmersvictory देशऑक्सीजनमांगताहै resignmodi farmersprotest,NOT,NONE,0.0,-0.6241268366575241
78,1583,60c5d7495659ea5e55df101f,hi_hasoc_2021_1583,हक की आवाज को मजबूत कीजिए एक बार फिर से लिखिए justiceforshahabuddin,NOT,NONE,0.0,0.14914017915725708
79,1623,60c5d7495659ea5e55df0e31,hi_hasoc_2021_1623,कुत्ता वफ़ादार होता हैं मैडम।,NOT,NONE,0.2,-0.6116567105054855
80,199,60c5d7495659ea5e55df05e5,hi_hasoc_2021_199,ops banevm पुरानीपेंशनबहालकरो farmersprotest speakupforfarmers stopprivatization modimadedisaster npsभारतछोड़ो npsquitindia npsनिजीकरणभारतछोड़ो opsकर्मचारीकाअधिकार npsनिजीकरणकेख़िलाफ़इंक़लाब स्वास्थ्यक्षेत्रमेबजटबढ़ाओ resignpmmodi vaccineऔरmspदो,NOT,NONE,0.0,-0.18057140707969666
81,2330,60c5d7495659ea5e55df11e2,hi_hasoc_2021_2330,शहाबुद्दीन साहब इकलौता सांसद जिन्होंने कारगिल युद्ध में पाकिस्तान के खिलाफ लड़ने की अनुमति मांगा थी। तुम उस वक्त बकरी चोरी और साइकिल चोरी में व्यस्त थे देश और देश की आन बान शान के लिए कई किस्ते दे चुके हैं हम अपने खून की justiceforshahabuddin kargil,NOT,NONE,0.0,-0.2940215766429901
82,5401,60c5d7495659ea5e55df13d0,hi_hasoc_2021_5404,लालू की रिहाई की कीमत शहाबुद्दीन साहब की जान से चुकाई गयी है rjd की खामोशी इस बात की गवाह है। tejashwi yadav दिल्ली में होने के बावजूद हॉस्पिटल नही पहुँच सकें। ये वक़्त भुला नही जाएगा।। इमरान भाई अमानतुल्लाह खान आपको सलाम standwithosamasahab justiceforshahabuddin,HOF,HATE,0.0,0.1806860864162445
83,5771,60c5d7495659ea5e55df1d82,hi_hasoc_2021_5775,लोग मर रहें हैं बंगालहिंसा में और ये धरना दे रहे हैं एयर कंडिशन्ड हाल के अंदर । हद्द हरामखोरी है । कोई क्यों करें इन पर विश्वास bengalelection2021 bengalburning,HOF,HATE,0.0,-0.797060664743185
84,551,60c5d7495659ea5e55df0799,hi_hasoc_2021_551,5 डेड बॉडी देने में किसी भी तरह की कोई दलाली नहीं होनी चाहिए ये फैक्ट लॉजिक वाला फैक्ट है जैसे सरदाना की बॉडी को उसके गांव भेज दिया गया तो शहाबुद्दीन की बॉडी को दिल्ली में क्यों दफनाया गया उनके गांव क्यों नहीं भेजा गया supportosamashahab justiceforshahabuddin,NOT,NONE,0.0,-0.5885738283395767
85,4983,60c5d7495659ea5e55df0f44,hi_hasoc_2021_4986,मोदी तुम इस्तीफा दो हम तुम्हारे साथ है resignmodi resignpmmodi modihataodeshbachao,NOT,NONE,0.0,-0.014434844255447388
86,2272,60c5d7495659ea5e55df11c6,hi_hasoc_2021_2272,सिद्ध कर दिया अग्रेंजो की नाजायज औलाद कौन है। हिन्दी व हिन्दुस्तान पर हमे गर्व है।,HOF,OFFN,0.0,0.23244184255599976
87,5448,60c5d7495659ea5e55df149d,hi_hasoc_2021_5451,व्हाट्सएप पर यह वीडियो प्राप्त हुआ कहां का है यह पता नहीं चल पाया वीडियो देखकर दिल दहल गया सड़क के एक किनारे पर बैठी गोवंश को इस तरह ट्रैक्टर ट्रॉली से कुचला इस सुअर ने।,HOF,OFFN,0.0,-0.44182632863521576
88,3741,60c5d7495659ea5e55df1c6f,hi_hasoc_2021_3741,सीताराम येचुरी ने पीएम मोदी से पूछा लोग मर रहे हैं लेकिन नई संसद का निर्माण क्यों जारी है modi modimadedisaster resignpmmodi resignmodi coronavirus corona covidvaccine covidsecondwave bjp,NOT,NONE,0.0,-0.3670772910118103
89,2285,60c5d7495659ea5e55df10bd,hi_hasoc_2021_2285,दिल्ली कर्मचारियों का मजाक बनाया जा रहा है जबकि बिजली कर्मी दिनरात अपनी सेवाएं दे रहे हैं गलत रूप से अवैध रूप से पुलिस के द्वारा नेताओं के दबाव से गलत एफ आई आर की गई इसे तत्काल वापस लिया जाए एवं दोषियों पर कार्रवाई की जाए,NOT,NONE,0.0,-0.7012357264757156
90,3195,60c5d7495659ea5e55df1789,hi_hasoc_2021_3195,जीतने पे ये हाल है जरा सोचो अगर हारी होती तो क्या होता bengalburning presidentsruleinbengal savebjpkaryakartas savebengalfromtmc,NOT,NONE,0.0,-0.2564520090818405
